Na-K,,Na-Zn,,Cl-Cl,,Na-Cl,,K-Cl,,Zn-Cl,,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,
3.269405024,0,3.352788354,-0.002385062,2.91147331,0,2.122186495,-0.012077295,2.52514297,0.001327649,2.086118705,0.000846354,0.001692709
3.428089137,0.051983943,3.4691854,0.050141085,3.059592046,0.097537721,2.293676313,0.01610306,2.662644987,0.098549905,2.202928241,0.213351634,0.426703267
3.523299605,0.134039228,3.543256248,0.127937999,3.123071504,0.202300459,2.368703108,0.193236715,2.707068715,0.2245538,2.227836853,0.485661519,0.971323038
3.57564359,0.241240488,3.585582446,0.213276451,3.154503827,0.319706976,2.411575563,0.475040258,2.726107456,0.333152745,2.27696011,1.39428736,2.788574721
3.617408633,0.34116265,3.627908645,0.316476438,3.186243556,0.437113492,2.422293676,0.668276973,2.744608379,0.593035777,2.29763833,2.208943557,4.417887114
3.659724397,0.452334326,3.670234844,0.473261035,3.207403375,0.534651214,2.443729904,0.893719807,2.750787305,0.45061961,2.311265895,2.979393604,5.958787207
3.70204016,0.557550378,3.701979493,0.844667584,3.228563194,0.624963919,2.465166131,1.183574879,2.757300873,0.713348319,2.339468512,4.474824513,8.949649027
3.789425286,1.081645425,3.753888015,1.304002676,3.249723014,0.71347037,2.486602358,1.400966184,2.782685861,0.861455838,2.340415997,3.83825595,7.676511901
3.810032448,1.196787519,3.798212666,1.609873677,3.270882833,0.803783075,2.497320472,1.90821256,2.810455173,1.064756239,2.350518236,4.974985527,9.949971054
3.84176927,1.288107111,3.830956541,1.850583948,3.281155336,0.895902034,2.508038585,1.586151369,2.820763342,1.25733572,2.360620475,5.475146541,10.95029308
3.873506093,1.395308371,3.852119641,1.973630087,3.291735246,0.990771922,2.518756699,2.020933977,2.834866113,1.422120225,2.381772437,6.490624963,12.98124993
3.894113255,1.518391299,3.884863516,2.160183911,3.325012008,1.197550842,2.529474812,2.30273752,2.873648733,1.846986298,2.381772437,6.107926005,12.21585201
3.925299358,1.64941506,3.913080982,2.359968502,3.335284511,1.350325825,2.55091104,2.793880837,2.894533981,2.248936657,2.393571186,8.559472792,17.11894558
3.967615121,1.775475801,3.936772038,2.534283866,3.345557014,1.583078942,2.55091104,2.560386473,2.917570499,2.646091878,2.401976915,7.97595161,15.95190322
4.009930885,1.891610499,3.950586981,2.672214619,3.37760415,1.849604199,2.561629153,3.164251208,2.927878668,2.798173473,2.412079153,8.941280287,17.88256057
4.081867683,2.003576259,3.977099784,2.805183834,3.419616382,2.071773453,2.593783494,3.752012882,2.938084396,3.009837364,2.428165059,9.430151989,18.86030398
4.136327455,2.107336491,4.019425983,2.923268435,3.439853982,2.187373715,2.615219721,4.001610306,2.957458633,3.139975177,2.450516315,9.714872625,19.42974525
4.174324552,2.186786491,4.160983034,3.060801945,3.471901118,2.343697791,2.625937835,4.130434783,2.976228465,3.275224558,2.471117712,9.888371489,19.77674298
4.269447929,2.245695751,4.242637752,2.982454657,3.518488978,2.491753268,2.647374062,4.323671498,3.008228608,3.433998708,2.522102648,9.529169076,19.05833815
4.375788057,2.156758409,4.304128598,2.85898949,3.582076817,2.548441992,2.658092176,4.508856683,3.06608497,3.552421076,2.544675838,9.08327668,18.16655336
4.450391363,2.060228246,4.348453249,2.769857684,3.649069775,2.500984037,2.658092176,4.396135266,3.137537871,3.401340171,2.561090376,8.582207384,17.16441477
4.54670327,1.939875581,4.492598039,2.480368488,3.715546447,2.328366499,2.679528403,4.641706924,3.174776756,3.250591494,2.583663566,8.104780962,16.20956192
4.604554452,1.816172576,4.548503467,2.272401964,3.735502258,2.20724251,2.743837085,4.593397746,3.191498897,3.094384024,2.604815529,7.38485223,14.76970446
4.697011321,1.668313797,4.612991991,2.137382461,3.779333312,2.116026678,2.765273312,4.476650564,3.217941593,2.831722616,2.622442164,6.806383178,13.61276636
4.771614627,1.535016418,4.690060517,2.011337775,3.800185725,2.038658794,2.786709539,4.299516908,3.253450356,2.727349642,2.646645711,6.187497076,12.37499415
4.868477254,1.406102842,4.714515939,1.893253173,3.813677458,1.939916904,2.81886388,4.066022544,3.265538445,2.637951921,2.667797674,5.50545933,11.01091866
4.931950899,1.310606141,4.784295238,1.775168572,3.85247046,1.820704133,2.829581994,3.896940419,3.29726968,2.556750882,2.677899912,4.827210682,9.654421364
4.984294883,1.215316132,4.804459111,1.659068586,3.873322873,1.723166412,2.861736334,3.607085346,3.307577849,2.46542453,2.699051875,4.281580485,8.563160971
5.047217809,1.133260847,4.868947635,1.556860906,3.928066861,1.421521977,2.893890675,3.317230274,3.325206313,2.364502293,2.720203837,3.883725133,7.767450267
5.132400056,1.055175979,4.910274608,1.451014765,3.959499183,1.32579051,2.915326902,3.123993559,3.342565868,2.250675245,2.775452456,1.85276829,3.705536579
5.302213829,0.90628534,4.944135567,1.360780929,4.001818822,1.240896567,2.947481243,2.826086957,3.359925423,2.117987321,2.796604419,1.587531389,3.175062777
5.43974006,0.820732306,4.994927005,1.226422484,4.049428416,1.137940083,2.958199357,2.648953301,3.38081067,1.987946537,2.828806105,1.382920065,2.765840129
5.590820826,0.747220308,5.037253204,1.130168649,4.088574082,1.064244916,2.979635584,2.439613527,3.401964827,1.894634829,2.849484325,1.216199727,2.432399454
5.967034944,0.643080178,5.079579403,1.039537891,4.149630151,0.978267221,3.001071811,2.262479871,3.422850074,1.767572078,2.860060306,1.057057586,2.114115172
6.388076791,0.619314877,5.143068701,0.925753289,4.244541932,0.878561994,3.033226152,2.037037037,3.541349205,1.239467521,2.891314507,0.860024459,1.720048919
6.571136013,0.649903431,5.17481335,0.83942253,4.382080758,0.794300241,3.043944266,1.884057971,3.583657518,1.134243681,2.942079217,0.632678544,1.265357088
6.813350214,0.729725157,5.237303421,0.747137925,4.583099043,0.732039043,3.076098607,1.714975845,3.625696922,1.02901984,2.995089723,0.42914982,0.85829964
7.178917938,0.941092663,5.311374269,0.650884091,4.794697237,0.783827781,3.097534834,1.55394525,3.69444793,0.92826305,3.089669212,0.252253046,0.504506091
7.376236958,1.053852506,5.39502744,0.551057949,5.028070063,0.909024909,3.129689175,1.360708535,3.773776017,0.82700992,3.303304034,0.119427917,0.238855834
7.520815816,1.137231264,5.511424487,0.464661036,5.174959173,0.8494555,3.161843516,1.1352657,3.855739409,0.734790158,3.535975621,0.065002683,0.130005365
7.671896583,1.222098928,5.638403083,0.405122582,5.355432451,0.69179532,3.258306538,0.877616747,3.96525285,0.64691527,3.768647209,0.05880234,0.117604679
7.861216079,1.288231287,5.765381679,0.376014893,5.577610554,0.628261535,3.32261522,0.748792271,4.109941856,0.578013254,4.001318797,0.087048347,0.174096694
8.072244176,1.33457979,5.892360275,0.369399509,5.810368568,0.647624197,3.3586624,0.678189878,4.344400423,0.561197894,4.233990384,0.166274954,0.332549908
8.256824922,1.337364797,6.019338871,0.372045662,6.011386852,0.695166193,3.398715107,0.622967157,4.577096144,0.578524633,4.382054122,0.246190488,0.492380976
8.535399429,1.249272971,6.146317467,0.387261045,6.319741266,0.81931686,3.443139575,0.57489558,4.809791865,0.625913141,4.572421784,0.549318375,1.09863675
8.812910919,1.12892992,6.273296063,0.418353349,6.488405008,0.898611415,3.496025846,0.52523486,4.964922345,0.675828465,4.752213466,0.726458734,1.452917468
8.972555589,1.048393183,6.400274659,0.459368729,6.646181434,0.98224098,3.591221135,0.480540212,5.603610548,1.026372699,4.921429166,0.894126347,1.788252693
9.141267923,0.965179859,6.527253255,0.510307184,6.868359538,1.049597837,3.758341753,0.439421136,5.719958409,1.111610628,5.090644866,1.049479389,2.098958778
9.331688859,0.885771519,6.820359619,0.710155848,7.101117551,1.076527444,3.982579544,0.445055371,5.836306269,1.207040048,5.281012529,1.218473186,2.436946372
9.510980134,0.820480216,7.111826227,1.030409302,7.333875564,1.062734231,4.141238358,0.476620262,5.952385221,1.305646037,5.471380191,1.39618191,2.79236382
9.925646439,0.772656292,7.299706381,1.19318018,7.528545903,1.025952329,4.331628936,0.545204963,6.111041394,1.405897141,5.672323835,1.564796797,3.129593594
10.33746949,0.815686234,7.394940328,1.314737858,7.799391591,0.952388526,4.648242268,0.705762279,6.311736971,1.4575966,5.904995423,1.620599885,3.241199771
10.74100614,0.951740046,7.521918924,1.380891696,8.032149605,0.92414528,4.818464352,0.786238618,6.533855614,1.398295959,6.116515048,1.515959526,3.031919053
11.07033651,1.061226138,7.64889752,1.420583999,8.264907618,0.901813411,4.976841447,0.868172312,6.681396891,1.303660681,6.232850842,1.360185473,2.720370946
11.31645271,1.128793727,7.775876116,1.448368611,8.497665631,0.874883804,5.083177428,0.922520619,6.836427776,1.145494028,6.338610654,1.137575931,2.275151862
11.5209789,1.171788597,7.902854713,1.442414766,8.730423645,0.84335646,5.231118128,1.001819049,6.978092899,1.029516179,6.539554298,0.975075271,1.950150542
11.71139983,1.178314452,8.029833309,1.425214768,8.963181658,0.820696181,5.875908062,1.466643387,7.157903229,0.943428959,6.772225886,0.878625489,1.757250978
11.93741263,1.158225445,8.156811905,1.399414771,9.195939671,0.814456394,6.034285158,1.503694242,7.369444793,0.866220691,7.004897473,0.86691373,1.733827459
12.53655722,1.020944617,8.283790501,1.353768622,9.422349739,0.820039361,6.182366718,1.460233587,7.602140514,0.808825869,7.237569061,0.86209124,1.724182481
12.72697816,0.966944489,8.744843736,0.973573063,9.689668791,0.865797799,6.245830244,1.412506389,7.834836235,0.776699207,7.470240648,0.813866349,1.627732699
12.91739909,0.940681735,8.876357282,0.906568676,9.894213712,0.897215673,6.320293602,1.339088686,8.067531955,0.768757785,7.702912236,0.766330385,1.53266077
13.11628318,0.915301295,9.003335878,0.856953297,10.12697172,0.920532771,6.499966066,1.125136357,8.300227676,0.792783952,7.935583824,0.757374334,1.514748668
13.54199206,0.887094991,9.130314474,0.807999457,10.35972974,0.94352146,6.563429591,1.072164922,8.448306771,0.81877406,8.210559336,0.852446262,1.704892524
14.01783948,0.914104402,9.25729307,0.776907153,10.59248775,0.957971493,6.626893117,1.029787774,8.797619261,0.964766517,8.485534849,0.988164884,1.976329769
14.47537226,1.004788428,9.384271667,0.753091771,10.82524577,0.967823788,6.711511152,0.977346054,9.019468995,1.042736842,8.718206436,1.079103251,2.158206501
14.77708981,1.058291853,9.490087163,0.739199465,11.05800378,0.965524919,6.817283695,0.929671763,9.252164716,1.12127004,8.950878024,1.15764093,2.315281861
15.01202938,1.08364452,9.638228859,0.733907158,11.77038436,0.900718711,6.944210746,0.883980053,9.484860436,1.164586887,9.183549612,1.20379904,2.407598081
15.20245032,1.092260977,10.05872376,0.78870432,11.96787601,0.890975886,7.113446815,0.830262038,9.717556157,1.174232227,9.395069237,1.218725793,2.437451585
15.50471858,1.08846988,10.48675128,0.954199439,12.20063403,0.876525853,7.324991901,0.797662004,9.950251878,1.156082591,9.564284937,1.201043332,2.402086665
15.87828583,1.053315747,10.63489298,1.01506097,12.43339204,0.866016739,7.522433981,0.767632081,10.12477367,1.122129647,10.0359737,1.027502617,2.055005234
16.25031618,0.990091369,10.73871002,1.068645579,12.66615005,0.859776952,7.790391089,0.767684988,10.40859193,1.033973882,10.2622997,0.98678703,1.973574061
16.68350204,1.010177919,10.86568862,1.122230188,12.89890807,0.856164443,7.927895395,0.779603561,10.62718488,0.989673704,10.49497129,0.949584972,1.899169943
16.81914558,0.951559524,10.99266722,1.167214798,13.60423538,0.913964575,8.393294584,0.941722764,10.8598806,0.953215358,10.72764287,0.914449694,1.828899387
16.91623874,1.001154244,11.10906426,1.191691719,13.85109994,0.925787329,8.520221636,0.986748484,11.09257633,0.924698434,10.96031446,0.886203686,1.772407372
17.14897544,0.992852463,11.31005392,1.211890263,14.08385795,0.933012345,8.647148687,1.035084918,11.32527205,0.907010722,11.19298605,0.869669438,1.739338875
17.32935108,0.938090335,11.74395724,1.162033015,14.31661597,0.941222591,8.774075739,1.077462065,11.55796777,0.898347352,11.40450568,0.867602657,1.735205313
17.38171214,0.995740039,12.09314838,1.044168659,14.54937398,0.94286464,8.932734553,1.11620197,11.75742124,0.899688112,11.59487334,0.882759051,1.765518102
17.61444884,0.987077311,12.22012698,1.013737894,14.68691281,0.94286464,9.133702385,1.154826974,11.97047382,0.922012545,12.1236724,1.027433724,2.054867449
17.8038836,0.981407083,12.34710557,0.983307128,15.67084441,0.885064509,9.372748332,1.175088548,12.3599792,0.994373704,12.35634399,1.057746513,2.115493026
17.84718553,0.986355417,12.47408417,0.951553286,15.90360242,0.879153132,9.525060794,1.168731975,12.57336728,1.022060389,12.58901558,1.087370375,2.17474075
18.07992223,0.986716364,12.60106277,0.927076366,16.13636043,0.877839493,10.08353982,1.035058304,12.806063,1.052483132,12.82168716,1.105971404,2.211942808
18.22802741,1.028940997,12.72804136,0.908553291,16.31092894,0.876033239,10.29837561,0.988840727,13.03875872,1.074141556,13.05435875,1.110104966,2.220209933
18.31265893,0.991769622,12.85501996,0.893999446,17.27899068,0.921189591,10.51227119,0.955733581,13.27145444,1.080177159,13.21299847,1.110104966,2.220209933
18.41844834,1.04041109,12.98199855,0.888707139,17.63870761,0.928414607,10.74144504,0.926599292,13.50415016,1.074661602,13.77352548,0.987475957,1.974951915
18.54539563,0.995018145,13.10897715,0.882091756,17.87146562,0.932027116,11.23857599,0.902815053,13.6804348,1.064554338,14.00619706,0.970252782,1.940505564
18.60886928,1.050557712,13.183048,0.886060986,18.10422364,0.935639624,11.47127558,0.906735004,14.12396694,0.994077584,14.23886865,0.949584972,1.899169943
18.77813233,0.998988562,14.12480592,1.00315328,18.29466201,0.935639624,12.18629797,1.010559336,14.35031642,0.976317676,14.47154024,0.935117504,1.870235008
18.79929021,1.051233334,14.25178452,1.023660969,19.23627398,0.885064509,12.36505357,1.035588339,14.58301214,0.957186069,14.69363585,0.928228234,1.856456468
18.98706641,1.05542433,14.37876311,1.040860967,19.57029684,0.880935928,12.70528858,1.06808625,14.81570786,0.946717831,15.73537,1.04569029,2.091380581
19.01086903,1.006929396,14.50574171,1.060707119,,,12.81458688,1.077409158,15.04840358,0.93985933,15.93102565,1.049479389,2.098958778
19.11665844,1.049262012,14.6327203,1.07658404,,,13.23767705,1.069357628,15.22821391,0.937693488,16.22715313,1.064635783,2.129271566
19.24360573,1.009095078,14.7596989,1.089153269,,,13.84058055,1.002136493,15.44328117,0.94563491,16.45982472,1.074280761,2.148561523
19.47634243,1.010538866,14.8866775,1.095768653,,,14.07328014,0.97824644,15.890339,1.011548712,16.6924963,1.079792178,2.159584355
19.70907913,1.010538866,15.01365609,1.099076345,,,14.4170409,0.956395724,16.12726556,1.021800366,16.81940808,1.079792178,2.159584355
19.92065794,0.987209959,15.14063469,1.102384037,,,14.86506318,0.94646358,16.35996128,1.033351525,17.77124639,0.958541023,1.917082045
19.92065794,1.012824864,15.70145682,1.005137895,,,15.89961938,1.016386194,16.592657,1.042736842,17.94046209,0.958541023,1.917082045
,,15.87076162,0.987276358,,,16.09236046,1.027474817,16.82535272,1.048512421,19.53743526,1.049479389,2.098958778
,,16.00832176,0.972722514,,,16.33681256,1.038711182,17.05804844,1.048873395,19.99220245,1.062109717,2.124219435
,,16.13530036,0.961476361,,,16.51662588,1.041600533,17.18497338,1.048873395,,,
,,16.26227895,0.947584055,,,17.50559916,0.992151442,17.86983919,0.982363986,,,
,,16.38925755,0.939645595,,,17.83892353,0.974220675,18.0946021,0.974512808,,,
,,16.51623615,0.933691749,,,18.07148226,0.970300725,18.32729783,0.968015281,,,
,,16.64321474,0.929060981,,,19.90618912,1.017657572,18.55999355,0.962239701,,,
,,16.77019334,0.92112252,,,,,18.79268927,0.961517754,,,
,,16.89717193,0.923768674,,,,,19.07827038,0.961517754,,,
,,17.02415053,0.928399442,,,,,19.67176199,1.023284369,,,
,,17.15112913,0.929722519,,,,,19.8927054,1.02613205,,,
,,17.23578152,0.933691749,,,,,,,,,
,,17.78602211,1.017707124,,,,,,,,,
,,17.9130007,1.025645585,,,,,,,,,
,,18.0399793,1.036230199,,,,,,,,,
,,18.16484158,1.040067121,,,,,,,,,
,,18.29393649,1.050122505,,,,,,,,,
,,18.41033354,1.052768658,,,,,,,,,
,,18.56905678,1.060707119,,,,,,,,,
,,18.70661693,1.060707119,,,,,,,,,
,,18.80185087,1.060707119,,,,,,,,,
,,19.81767964,0.974707129,,,,,,,,,
,,19.93407669,0.965445592,,,,,,,,,
