F-F,,F-K,,F-Mg,,Mg-Mg,,F-Na,
X,Y,X,Y,X,Y,X,Y,X,Y
2.312327155,0.052277228,1.965755557,0.010799185,1.634986753,0.084559666,1.821895649,0.006886162,1.35762049,0.009233976
2.384257109,0.070277133,2.037685512,0.016146983,1.68212267,0.369362515,1.893825603,0.009233976,1.429550444,0.009233976
2.456187063,0.13132029,2.109615466,0.103459567,1.711821022,0.720882404,1.965755557,0.009233976,1.501480399,0.009233976
2.528117017,0.249493581,2.16192816,0.255441376,1.730348435,1.018167796,2.037685512,0.012364394,1.573410353,0.010016581
2.600046972,0.388014591,2.194623593,0.453440334,1.754636471,1.398021697,2.109615466,0.012364394,1.645340307,0.009233976
2.671976926,0.544535506,2.224049484,0.635513288,1.763043868,1.992494841,2.18154542,0.009233976,1.717270261,0.009233976
2.74390688,0.698708608,2.253475374,0.817012333,1.769440457,2.411047421,2.253475374,0.009233976,1.789200215,0.044451182
2.815836834,0.838533959,2.276362178,1.059489317,1.777575172,2.681741648,2.325405328,0.009233976,1.849686768,0.143098489
2.887766788,0.970272396,2.296633347,1.291922876,1.78251863,3.065304846,2.397335283,0.009233976,1.884016973,0.360036477
2.959696743,1.094706523,2.313961927,1.483226217,1.787331905,3.319874935,2.469265237,0.009233976,1.91017332,0.564491923
3.059417815,1.238118812,2.34938198,1.861528574,1.79239851,3.719562272,2.541195191,0.010016581,1.93959921,0.781142956
3.136252085,1.329487896,2.372268783,2.083918708,1.797211784,3.995039083,2.613125145,0.042103368,1.962486014,1.020750391
3.208182039,1.396009285,2.397335283,2.336439118,1.802135891,4.339385096,2.685055099,0.10392913,1.976654035,1.329800938
3.280111993,1.450791605,2.420875995,2.536733715,1.810270606,4.614861907,2.756985054,0.192363447,1.988642361,1.526508598
3.352041947,1.498530485,2.44310889,2.749654334,1.815214064,4.993642522,2.828915008,0.294102042,2.001720535,1.690072955
3.423971901,1.533747691,2.498691127,3.02656592,1.820027339,5.248212611,2.884497245,0.48701407,2.008259621,1.869993747
3.495901856,1.547051968,2.560812451,3.163130418,1.825093943,5.647899948,2.920462222,0.658326212,2.020683886,2.109744659
3.56783181,1.550182387,2.632742405,3.038696291,1.829907218,5.912308494,2.956427199,0.865794685,2.035505816,2.335004343
3.639761764,1.543138945,2.688324643,2.825697412,1.838029619,6.267722772,2.99566172,1.081728331,2.04585937,2.542329338
3.711691718,1.514182576,2.727559163,2.624828904,1.841512909,6.496928088,3.043978305,1.292196167,2.062907703,2.793517457
3.783621672,1.486791416,2.766793684,2.442612472,1.848051996,6.853110995,3.064322131,1.540138961,2.076920032,3.034313705
3.855551627,1.464095883,2.806028204,2.26613514,1.852722772,7.163022408,3.087862843,1.787781136,2.088908358,3.267608129
3.927481581,1.41400919,2.848532268,2.07408025,1.865800946,7.743491402,3.107480103,2.035710266,2.110432852,3.565682647
3.999411535,1.35922687,2.894305875,1.884689943,1.876076654,8.221886399,3.132328633,2.281917665,2.121385822,3.826309536
4.071341489,1.30444455,2.940079482,1.69775925,1.888103902,8.701818656,3.172217062,2.5272642,2.14376403,4.156690406
4.133462813,1.239194893,2.989122633,1.523280354,1.898496379,9.214340803,3.237607929,2.661559145,2.188084507,4.435036767
4.221740484,1.175314795,3.123173911,1.13696717,1.911574553,9.784971339,3.289920623,2.878784089,2.247078786,4.597709034
4.293670438,1.126010706,3.195103865,0.978881046,1.925048555,10.61582074,3.332424687,3.100969255,2.302518525,4.260831162
4.365600393,1.075141409,3.26703382,0.873229428,1.936108883,11.10038099,3.365120121,3.329303457,2.331944415,4.048412715
4.442616303,1.038924208,3.338963774,0.778534274,1.949407841,11.59478895,3.387353016,3.547389265,2.359969073,3.803189161
4.502921214,1.007837415,3.410893728,0.703404235,1.970594741,11.21957497,3.408278093,3.757440334,2.382949292,3.583545597
4.581390255,0.977315837,3.482823682,0.648621915,1.999758809,10.65813445,3.431665048,4.00325401,2.400604826,3.40391176
4.653320209,0.956185513,3.554753636,0.604013454,2.008259621,10.36328817,3.457237328,4.138996873,2.425126401,3.200891089
4.718711077,0.937055179,3.626683591,0.575839689,2.03021227,9.941156853,3.541746712,3.946052632,2.444416707,3.015374674
4.842953725,0.892794543,3.698613545,0.55549197,2.040955055,9.620792079,3.590718613,3.725301372,2.465528616,2.815653986
4.911614136,0.888177176,3.770543499,0.544535506,2.054687137,9.308298072,3.649499145,3.44618125,2.490190314,2.610768108
5.019509067,0.880272869,3.842473453,0.542970297,2.061973548,8.930255341,3.705152631,3.622407504,2.512859148,2.412482196
5.091439021,0.863055569,3.908798476,0.554038562,2.075985877,8.480145909,3.764004412,3.756344687,2.534656104,2.214770193
5.209142583,0.852099105,3.97488996,0.564491923,2.086728662,8.009539691,3.832664823,3.705788431,2.567351538,2.016771235
5.281072537,0.852881709,4.058263316,0.53670946,2.096537292,7.559635227,3.877784522,3.444085461,2.600046972,1.817050547
5.353002491,0.845838268,4.13019327,0.568796248,2.107163308,7.079088067,3.901325234,3.230303978,2.632742405,1.62421678
5.424932445,0.844273059,4.202123224,0.589143967,2.118022863,6.615758207,3.922250311,3.023983325,2.675246469,1.433965607
5.496862399,0.844273059,4.274053178,0.612622104,2.130322574,6.131419142,3.946008993,2.817088762,2.727559163,1.242423137
5.568792354,0.844273059,4.345983132,0.656671562,2.139858742,5.684486712,3.976524731,2.604742053,2.786410944,1.063793643
5.640722308,0.852099105,4.561772995,0.758186555,2.15211953,5.251902032,4.00202717,2.407986567,2.855071355,0.884968497
5.712652262,0.864620778,4.633702949,0.808273248,2.165197703,4.848730241,4.028837425,2.217352788,2.927001309,0.761316974
5.784582216,0.882620683,4.705632903,0.86149036,2.179910648,4.586883794,4.054993772,2.025810318,2.998931263,0.665056611
5.860033217,0.912480058,4.777562858,0.915490075,2.188084507,4.284863644,4.080683042,1.801063054,3.070861217,0.58288313
5.925172581,0.938193434,4.849492812,0.967924582,2.197893137,3.983560882,4.113845553,1.550182387,3.142791171,0.522622578
,,4.925949826,0.993931134,2.212933036,3.686849401,4.153080073,1.290488101,3.214721126,0.479579326
,,4.99335272,1.033551566,2.22601121,3.387268369,4.195584137,1.118520063,3.28665108,0.452970771
,,5.068007294,1.096690985,2.240397201,2.947653292,4.254435918,0.911577052,3.358581034,0.429492633
,,5.131607697,1.118950495,2.263937913,2.567724857,4.331270187,0.743121417,3.430510988,0.419318774
,,5.211867202,1.19220601,2.286170808,2.253222164,4.398295826,0.649404519,3.502440942,0.405231892
,,5.353002491,1.253575252,2.311393,1.905484864,4.470225781,0.560187598,3.574370897,0.413840542
,,5.430702228,1.308313072,2.331944415,1.611877714,4.542155735,0.467057653,3.646300851,0.424014401
,,5.666878655,1.277835994,2.367909392,1.303759771,4.614085689,0.450622957,3.718230805,0.441231702
,,5.738808609,1.24809702,2.413682999,0.996359215,4.686015643,0.441231702,3.790160759,0.464709839
,,5.810738563,1.224618883,2.465995693,0.707395518,4.757945597,0.425579611,3.862090713,0.496014022
,,5.882668517,1.205053769,2.534656104,0.470188071,4.829875552,0.470188071,3.934020668,0.523405183
,,5.938250755,1.180010422,2.606586058,0.344188735,4.891996876,0.632285044,4.005950622,0.564883225
,,,,2.678516013,0.263580463,4.947579113,0.832794858,4.077880576,0.611056895
,,,,2.744996728,0.204363384,5.00316135,1.02254386,4.14981053,0.643926287
,,,,2.822375921,0.175928751,5.065282674,1.097054337,4.221740484,0.705752049
,,,,2.894305875,0.164189682,5.137212629,0.901403193,4.293670438,0.768360415
,,,,2.966235829,0.141494149,5.209142583,0.951489886,4.365600393,0.829403572
,,,,3.038165784,0.146189777,5.286521776,1.149880146,4.437530347,0.902968402
,,,,3.110095738,0.138363731,5.346463404,1.298183713,4.509460301,0.974185419
,,,,3.182025692,0.146972381,5.418393359,1.399061443,4.581390255,1.020359089
,,,,3.253955646,0.170450519,5.470706052,1.574286608,4.653320209,1.094706523
,,,,3.3258856,0.175146146,5.503401486,1.780894216,4.725250164,1.16592354
,,,,3.397815554,0.181406983,5.55571418,2.027571178,4.797180118,1.230097115
,,,,3.469745509,0.19627647,5.627644134,2.0142669,4.869110072,1.274705576
,,,,3.541675463,0.224450234,5.699574089,1.907050073,4.941040026,1.302096736
,,,,3.613605417,0.2698413,5.771504043,1.78496376,5.01296998,1.325574873
,,,,3.685535371,0.321493202,5.843433997,1.655834004,5.084899935,1.348270406
,,,,3.757465325,0.371579895,5.915363951,1.550182387,5.156829889,1.360792079
,,,,3.82939528,0.406797101,5.954598472,1.498530485,5.228759843,1.35922687
,,,,3.901325234,0.457666398,,,5.300689797,1.344357383
,,,,3.986333361,0.515709571,,,5.372619751,1.335748733
,,,,4.071341489,0.566644085,,,5.444549706,1.32322706
,,,,4.147630835,0.603230849,,,5.51647966,1.29427069
,,,,4.287131352,0.827055758,,,5.588409614,1.259053484
,,,,4.359061306,0.96244635,,,5.660339568,1.228531906
,,,,4.43099126,1.072010991,,,5.732269522,1.189401677
,,,,4.502921214,1.147923634,,,5.804199476,1.14714103
,,,,4.574851168,1.219923255,,,5.876129431,1.111141219
,,,,4.646781123,1.306009759,,,5.934981211,1.073017196
,,,,4.718711077,1.392878867,,,,
,,,,4.790641031,1.46018286,,,,
,,,,4.862570985,1.504791321,,,,
,,,,4.934500939,1.507139135,,,,
,,,,5.006430894,1.511052158,,,,
,,,,5.078360848,1.525921645,,,,
,,,,5.150290802,1.530617272,,,,
,,,,5.222220756,1.505573926,,,,
,,,,5.29415071,1.445313373,,,,
,,,,5.356272034,1.400607087,,,,
,,,,5.479697297,1.270401251,,,,
,,,,5.549175093,1.225401488,,,,
,,,,5.621105048,1.180793027,,,,
,,,,5.693035002,1.144793216,,,,
,,,,5.764964956,1.102532569,,,,
,,,,5.83689491,1.046967644,,,,
,,,,5.908824864,1.007837415,,,,
,,,,5.951328928,0.969098489,,,,
