Na-Na,,Na-Cl,,K-K,,K-Cl,,Ca-Ca,,Ca-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.137059361,0.03489439,0.155592209,0.023645203,0.184030378,0.009533421,0.02105647,0.037834785,0.070616922,0.030008641,0.021681644,0.029536011
0.243093026,0.034589404,0.261627232,0.023237376,0.278072183,0.009336799,0.114971782,0.043304588,0.164512092,0.028404033,0.1189975,0.044084614
0.349126691,0.034284417,0.367662254,0.022829549,0.372113988,0.009140176,0.208892956,0.04125734,0.258407262,0.028149345,0.212990376,0.042058617
0.455160356,0.03397943,0.473697277,0.022421721,0.466155793,0.008943553,0.302812732,0.041003503,0.352302432,0.027894656,0.306983252,0.04165106
0.561194021,0.033674444,0.5797323,0.022013894,0.560197598,0.008746931,0.396732507,0.040749666,0.446197603,0.027639968,0.400976128,0.041243503
0.667227686,0.033369457,0.685767323,0.021606067,0.654239403,0.008550308,0.490652283,0.040495829,0.540092773,0.027385279,0.494969004,0.040835946
0.773261351,0.033064471,0.791800661,0.021704373,0.748281208,0.008353685,0.584572058,0.040241991,0.633987943,0.027130591,0.58896188,0.040428389
0.879295016,0.032759484,0.897832313,0.022308811,0.842323013,0.008157063,0.678491834,0.039988154,0.727883113,0.026875902,0.682954756,0.040020831
0.985328681,0.0231181,1.065758878,0.024993203,0.936364818,0.021338673,0.772411609,0.039734317,0.821778284,0.026621213,0.776947632,0.039613274
1.087231165,0.020265597,1.215942438,0.019566932,1.030406623,0.022479874,0.869891516,0.036182946,0.92158294,0.024066017,0.870940507,0.039205717
1.197396011,0.031844524,1.321977461,0.019159105,1.124448428,0.008236106,0.963062048,0.033422627,1.009568624,0.025442117,0.970330104,0.043928213
1.303429676,0.031539538,1.428012484,0.018751278,1.218490233,0.007370572,1.05869202,0.037831354,1.103463794,0.023157309,1.055508337,0.028317148
1.409463341,0.031234551,1.534047507,0.018343451,1.312532038,0.007173949,1.148087199,0.043223482,1.197358965,0.025602459,1.152919135,0.037983045
1.515497006,0.030929565,1.64008253,0.017935624,1.406573843,0.006977327,1.242006974,0.042969645,1.291254135,0.025347771,1.246912011,0.037575488
1.621530671,0.030624578,1.746117553,0.017527797,1.500615649,0.006780704,1.335923237,0.047220321,1.385149305,0.025093082,1.340904887,0.037167931
1.727564336,0.030319592,1.852145835,0.0191445,1.594657454,0.006584081,1.429843013,0.046966484,1.479044475,0.024838394,1.434897763,0.044890455
1.833598001,0.030014605,1.967165586,0.034423653,1.688699259,0.006387459,1.523762788,0.046712647,1.572939645,0.024583705,1.528890639,0.044482898
1.943969407,0.018871967,2.172471342,0.07480947,1.782741064,0.006190836,1.617682564,0.04645881,1.666834816,0.024329017,1.622883515,0.044075341
2.151698997,0.029099645,2.237940367,0.173908983,1.876782869,0.010676595,1.711602339,0.046204973,1.760729986,0.024074328,1.716876391,0.051797865
2.257732662,0.028794659,2.287455307,0.348097002,1.970824674,0.020513647,1.805522115,0.045951135,1.854625156,0.02381964,1.810869267,0.06765047
2.363766327,0.028489672,2.314481129,0.50288567,2.064866479,0.015634643,1.899642238,0.053234556,1.959950153,0.028361563,1.908422479,0.068711045
2.469799992,0.028184686,2.327773836,0.630486736,2.158908284,0.005404346,1.993351974,0.0578714,2.136310667,0.028005278,1.998855019,0.080364804
2.575833657,0.027879699,2.351937017,0.821296514,2.252950089,0.005207723,2.087611487,0.059984334,2.230205837,0.02775059,2.089287558,0.08498786
2.681867322,0.027574712,2.369329343,0.980144285,2.346991894,0.0050111,2.189732353,0.053921738,2.324101007,0.027495901,2.187100957,0.100717931
2.791917413,0.023557259,2.394641291,1.139645311,2.441033699,0.004814478,2.283648616,0.058172415,2.417996178,0.027241213,2.270054579,0.206534061
2.893934652,0.044372341,2.409217296,1.304383855,2.535075504,0.004617855,2.375432902,0.059140942,2.511891348,0.026986524,2.31211685,0.401217972
3.009156493,0.077646229,2.42894892,1.492895817,2.629117309,0.004421232,2.473504448,0.078965221,2.605786518,0.026731836,2.335747932,0.615897222
3.109337269,0.155931244,2.442879002,1.671940421,2.723159114,0.00422461,2.54694785,0.157500857,2.699681688,0.026477147,2.350473823,0.84014914
3.212035647,0.264226759,2.467606286,1.866743569,2.817200919,0.004027987,2.615911712,0.302922181,2.793576858,0.026222459,2.36739237,1.109788789
3.306677265,0.393177436,2.474762438,2.044679659,2.914320456,0.023628537,2.647294023,0.433840095,2.887472029,0.029117582,2.37727592,1.375898375
3.381328032,0.548085707,2.489564819,2.153640452,3.00528453,0.017637292,2.667476589,0.556333649,2.986758309,0.042631657,2.390105167,1.659035048
3.433139937,0.665556369,2.499248436,2.28710647,3.099326335,0.005444854,2.686436864,0.716609544,3.079202027,0.043723538,2.406214219,1.913291468
3.481337057,0.797956739,2.519438034,2.434224802,3.19336814,-0.00344762,2.717267147,0.836610976,3.177693464,0.03507996,2.420256129,2.026405772
3.538642016,0.919860862,2.539602452,2.597742723,3.287409945,0.021551429,2.722696901,0.912335695,3.271588634,0.034825271,2.428129842,2.289175443
3.586165794,1.058916651,2.562664063,2.746117633,3.38145175,0.048869373,2.730756758,1.027988623,3.365483804,0.034570583,2.439783104,2.598555209
3.660750838,1.192767749,2.59387596,2.901652402,3.483508481,0.127891674,2.762572999,1.236991399,3.459378975,0.034315894,2.445321179,2.80072058
3.710273379,1.329882973,2.663674783,3.042401269,3.56953536,0.24141573,2.789924596,1.417944413,3.553274145,0.034061206,2.463936651,2.991808442
3.772823319,1.471712047,2.740141367,2.976817928,3.635414913,0.335159833,2.806958225,1.566637238,3.647169315,0.042805979,2.468203677,3.294307777
3.854325694,1.612186848,2.776835848,2.813958315,3.689882565,0.445005745,2.840305844,1.738598831,3.743805409,0.069655434,2.476748484,3.532554877
3.954271302,1.719101939,2.80717221,2.696926545,3.73357419,0.539861258,2.863526391,1.871772371,3.823265269,0.127478565,2.488541091,3.830479767
4.061682027,1.773874135,2.854183754,2.575005572,3.800365245,0.611053607,2.885319692,2.011992743,3.900736486,0.250905711,2.497273435,4.073398292
4.163503507,1.80334408,2.891823715,2.419214175,3.837981967,0.768927296,2.915958617,2.170364311,3.959483732,0.352360878,2.503448352,4.318863296
4.272372297,1.791868822,2.920837898,2.272511563,3.901531429,0.879818896,2.952429595,2.299542318,3.996573161,0.458863317,2.51786693,4.730054661
4.369409166,1.747346963,2.952293775,2.143172734,3.949502249,0.99717453,2.998478313,2.418584112,4.019797705,0.574359483,2.525471298,5.006589854
4.438446581,1.683793451,2.979194147,2.024931041,3.99699811,1.11122199,3.078978305,2.447519721,4.054267256,0.678829057,2.548271634,5.289889932
4.509798321,1.618746927,3.012893749,1.900741525,4.063492316,1.177616669,3.156577034,2.371982208,4.089436907,0.814350799,2.561701619,5.506247459
4.580231404,1.556467396,3.052554308,1.762517828,4.115005929,1.228699755,3.190273365,2.24115871,4.12304711,0.941095805,2.581936366,5.702414825
4.653906493,1.486610586,3.092859975,1.623549332,4.155570746,1.292272317,3.245567753,2.123175569,4.154630031,1.092409217,2.622056269,5.931473608
4.723990615,1.422079951,3.140243782,1.462616161,4.178086875,1.391849969,3.300844127,1.996708716,4.190419943,1.230514953,2.710288918,5.706909133
4.795867174,1.351261225,3.1850564,1.330692216,4.221314277,1.580265263,3.34798646,1.883384066,4.207913898,1.338626699,2.73940495,5.40637446
4.857627213,1.283572234,3.23351538,1.204340973,4.298501837,1.635230694,3.385723595,1.745546841,4.243679808,1.470223174,2.762191102,5.155849058
4.918816175,1.221277716,3.299679637,1.065216438,4.317708709,1.765999926,3.424925583,1.639737691,4.275779189,1.600450589,2.77887382,4.9337075
4.99350171,1.16708751,3.38627383,0.9431606,4.337168467,1.93566481,3.468769073,1.530090637,4.302301526,1.728849991,2.78853759,4.744192526
5.073759836,1.105365619,3.464323936,0.832731341,4.425682183,1.818448313,3.528378768,1.421017455,4.339527641,1.866343921,2.81111431,4.474172178
5.148446171,1.039853449,3.558224018,0.738437544,4.497853725,1.861712249,3.586757354,1.313937049,4.382325818,2.006435081,2.825687838,4.248633213
5.224501291,0.978755605,3.669142785,0.672845715,4.559196779,1.910399971,3.636878228,1.237834126,4.428206413,2.135621655,2.848693087,3.961392198
5.308870744,0.916324142,3.769414676,0.634106955,4.617169438,1.596382292,3.683055131,1.146880763,4.498094295,2.243706868,2.86079823,3.724666675
5.396204163,0.841619252,3.874461396,0.608848538,4.699105678,1.724631151,3.736189847,1.049097921,4.567152296,2.362621809,2.877545995,3.49909143
5.493551164,0.788855565,3.980525071,0.599835452,4.778644282,1.759897261,3.808131014,0.955346329,4.650750161,2.424973456,2.891417122,3.290792018
5.580813706,0.756146462,4.086550827,0.602210849,4.807040022,1.7102004,3.88915884,0.911213865,4.748303584,2.470123989,2.912579703,3.100155932
5.67008879,0.730058383,4.192555515,0.610913405,4.888751171,1.728456073,3.955515557,0.833575191,4.850201184,2.441049314,2.934443288,2.849064745
5.774370269,0.697988444,4.298541666,0.625183418,4.908918644,1.610517752,4.033961578,0.796345157,4.928127062,2.408499874,2.941959189,2.608826353
5.885200149,0.683832906,4.404502539,0.647045418,4.983962105,1.627802103,4.084103662,0.730122613,4.971660277,2.325226759,2.973504574,2.338523683
5.988189785,0.669338501,4.510439818,0.675993271,5.001535573,1.516849899,4.164673947,0.714538195,5.034257057,2.223691147,3.000105333,2.063162489
6.097597249,0.661605159,4.616348449,0.713545376,5.046544886,1.41350294,4.270645267,0.690875887,5.074091372,2.10276219,3.028258747,1.827253494
6.191220155,0.66667326,4.722260449,0.750085216,5.10198932,1.402181654,4.358350395,0.665548949,5.130523318,1.998115363,3.043950632,1.60807359
6.302159599,0.677052875,4.82816318,0.789409288,5.143208942,1.450798611,4.448297463,0.676285125,5.173880395,1.882622507,3.081532317,1.396773798
6.407221221,0.691854239,4.934077706,0.825190433,5.192888016,1.272865422,4.545766385,0.686819497,5.205585257,1.765864907,3.124395972,1.147057299
6.511960041,0.714342819,5.039959373,0.870840656,5.279386361,1.257102865,4.645606824,0.674202744,5.257082853,1.585715215,3.18871938,0.938769526
6.615891992,0.744622402,5.149849513,0.91887956,5.373428166,1.214095896,4.741139752,0.686106845,5.310326828,1.436574325,3.254286588,0.78323776
6.721428645,0.769831932,5.251683945,0.973782148,5.460956253,1.144367316,4.827519418,0.694128331,5.367767824,1.308637994,3.32592926,0.628379505
6.842547163,0.821724887,5.357530222,1.030061152,5.530734458,1.136396219,4.921418076,0.720954987,5.403379115,1.193460774,3.370458886,0.508013168
6.94249277,0.859128304,5.463366387,1.089376951,5.598273573,1.033733149,5.015328026,0.733299856,5.433616385,1.081480084,3.43538785,0.43283894
7.048526435,0.8997016,5.569217719,1.144137558,5.655553581,0.9320726,5.105825824,0.741663618,5.474995296,0.97292218,3.505411285,0.339888557
7.1545601,0.958443022,5.675808225,1.199595103,5.741046131,0.956465207,5.206968807,0.785283879,5.522405243,0.860579661,3.596733909,0.286022246
7.262888866,0.991175314,5.78092881,1.251128109,5.835087936,0.869469334,5.2970176,0.821984676,5.576288267,0.760069411,3.677482334,0.274081318
7.36502086,1.054524062,5.886840811,1.287667949,5.868430031,0.808012644,5.390911503,0.854908926,5.651314551,0.656461743,3.767630047,0.273027228
7.465163766,1.089857321,5.992778934,1.316362232,5.929129741,0.896252148,5.484794042,0.902404634,5.733776075,0.5594974,3.861622923,0.272215061
7.573591536,1.117900984,6.100093729,1.317601819,5.995623947,0.839740504,5.578683224,0.941381644,5.817191027,0.505291864,3.953571181,0.268123506
7.687941567,1.165547902,6.204856562,1.313269486,6.075244282,0.807268078,5.672567511,0.98663559,5.898517458,0.454087687,4.042663892,0.275153761
7.790762091,1.193051073,6.310970791,1.289073435,6.194156647,0.817722043,5.768587912,1.029866179,5.977476722,0.423704072,4.143601551,0.303525611
7.896795756,1.206624515,6.417105243,1.258803795,6.288198452,0.79745807,5.860330841,1.083868768,6.071371892,0.414657777,4.229968783,0.339382249
8.002829421,1.221964304,6.523259918,1.222460567,6.382240257,0.79012639,5.954221422,1.121052368,6.165267062,0.408103465,4.335147639,0.357987994
8.108863086,1.211818249,6.629444927,1.177006954,6.476282062,0.778335299,6.048087528,1.189620646,6.259162232,0.408298749,4.421735016,0.35449705
8.207399421,1.208310546,6.735638362,1.12902268,6.570323867,0.733990507,6.141974962,1.230839418,6.359696455,0.411150866,4.527548208,0.435189514
8.320930416,1.197834517,6.841836852,1.079520008,6.672344977,0.750574316,6.235870962,1.261073553,6.449228819,0.430761825,4.616007304,0.498557069
8.42262634,1.178515942,6.948778143,1.029625152,6.74700847,0.740607506,6.329766263,1.292204394,6.547486796,0.454913844,4.705045628,0.554047973
8.528866564,1.166631786,7.051767212,0.99756322,6.810771664,0.660966607,6.423673801,1.307642896,6.642709776,0.500192833,4.800269961,0.624348999
8.639031411,1.144938531,7.16701058,0.959601265,6.892345805,0.689614996,6.51759585,1.304474767,6.73043512,0.528489492,4.894323872,0.696996398
8.750420311,1.0889362,7.257477126,0.928629598,6.992901329,0.705872722,6.611523539,1.294073217,6.823346199,0.577201089,4.989537434,0.765020435
8.853393842,1.039206371,7.368428752,0.90363989,7.090225437,0.759102536,6.705466693,1.26383954,6.916428424,0.634202328,5.082309624,0.85555908
8.952794665,1.015168522,7.478709291,0.878161996,7.177320972,0.787572153,6.804804828,1.230440236,7.010323594,0.690644252,5.177523186,0.926453921
9.071428434,1.003288371,7.586430954,0.8537067,7.267373125,0.791843283,6.887954739,1.210747608,7.104218765,0.754735719,5.26988848,1.006917614
9.169199736,0.947853911,7.690908256,0.838627716,7.363369046,0.76244405,6.967081715,1.163551224,7.182521419,0.832671196,5.360112218,1.087442311
9.278446542,0.927661285,7.796966872,0.831134035,7.446951322,0.844294689,7.055640049,1.12345578,7.292009105,0.905192323,5.459501814,1.15646585
9.374593618,0.924727669,7.903007795,0.828954241,7.508842083,0.945311972,7.149591991,1.081953509,7.385904275,0.989307595,5.555529168,1.232877198
9.49249119,0.909442557,8.009032706,0.831583208,7.592672278,0.946499297,7.245574914,1.042901008,7.4789865,1.054836896,5.652513923,1.304989523
9.593334396,0.898942635,8.11506267,0.832694787,7.687833628,0.913948369,7.337491505,1.004553375,7.572475198,1.117750964,5.735564806,1.369074076
9.708405021,0.861928443,8.221067359,0.841397343,7.790017581,0.962110838,7.427591135,0.976063712,7.666776841,1.188676635,5.839318481,1.38937135
9.800835683,0.843310186,8.327026546,0.863765475,7.844162863,1.067566754,7.509908915,0.935769808,7.763995522,1.249001749,5.925905857,1.457091762
9.911435391,0.839485936,8.432978993,0.888158137,7.946183972,1.067739931,7.602252828,0.903407047,7.856660515,1.291245065,6.023459069,1.433656777
10.01341035,0.838023914,8.538916272,0.91710599,8.024703013,1.134211605,7.69923351,0.888317309,7.951785863,1.336131254,6.119486423,1.415047649
10.13249952,0.848842555,8.644855127,0.945580445,8.126288278,1.201651099,7.790126818,0.858736647,8.047153898,1.380730479,6.203469668,1.392836513
10.22049943,0.853169321,8.750794201,0.973989432,8.22236562,1.189515987,7.884472053,0.834270674,8.136117201,1.386373816,6.308489414,1.341939766
10.33557005,0.870384641,8.856723054,1.005467948,8.314371888,1.252095139,7.977996263,0.819894831,8.225051321,1.390172728,6.406754693,1.275388853
10.44160372,0.900540103,8.967869463,1.02880841,8.409126131,1.235843147,8.071925829,0.807087122,8.330546594,1.364122729,6.485412693,1.228792198
10.54362095,0.913073702,9.068639743,1.050710344,8.469398379,1.175217787,8.16584473,0.807954166,8.418751148,1.339523166,6.585617418,1.153808318
10.65206448,0.938668186,9.174593875,1.074596873,8.544195978,1.260953154,8.259762233,0.810614621,8.510613955,1.295752641,6.686805921,1.082626701
10.76489517,0.950620721,9.28057497,1.090385283,8.624044903,1.262373231,8.353687778,0.802962967,8.600037927,1.247662939,6.76739132,1.065674961
10.87296794,0.974810635,9.386554381,1.106679826,8.689533314,1.18389495,8.447599861,0.812572885,8.691900734,1.204452044,6.876040914,1.004686562
10.9674343,0.986335585,9.492570025,1.112092018,8.773996121,1.204480223,8.540225102,0.830032435,8.787015322,1.166546297,6.955412676,0.982484473
11.07780571,1.028410415,9.598594092,1.114974556,8.856998132,1.178062362,8.635408994,0.851071881,8.875849908,1.116230827,7.06329634,0.956590579
11.1822328,1.03984363,9.704639226,1.111529934,8.955566013,1.192782187,8.727288398,0.860409743,8.967082683,1.073899088,7.151373581,0.902115431
11.29654648,1.058410843,9.810704584,1.102011724,9.049607819,1.178315449,8.830528084,0.900407635,9.055151746,1.039051556,7.237826921,0.905929469
11.3914083,1.063205396,9.916774997,1.090975116,9.143649624,1.134936863,8.909582368,0.917372622,9.132623997,0.982556619,7.339359332,0.906964856
11.49585231,1.060489649,10.02284541,1.079938508,9.260801666,1.091748623,9.014855534,0.945881503,9.220721584,0.966203206,7.433352208,0.900892759
11.6141708,1.0701251,10.12892762,1.065358973,9.370119729,1.037756619,9.104904513,0.982342603,9.315023227,0.936152766,7.527345084,0.895629882
11.71474919,1.086245904,10.23502668,1.045718114,9.495054659,0.965810818,9.198813316,0.996160138,9.408918397,0.92463375,7.623851139,0.827808166
11.81384459,1.080653518,10.34111563,1.02911405,9.57313899,0.893962971,9.292718406,1.014737108,9.498972402,0.889824046,7.715330836,0.830886392
11.92681652,1.075387244,10.44719784,1.014534515,9.639506414,0.94251707,9.38363334,1.035631169,9.604240436,0.865503327,7.809323712,0.826432735
12.03210869,1.077646562,10.55328005,0.99995498,9.739247722,0.932854579,9.484358261,1.067909265,9.688571545,0.84637697,7.909232223,0.794066463
12.13814236,1.075322895,10.65936563,0.984363181,9.819040769,0.904972508,9.574420567,1.087281236,9.784499078,0.849159444,7.991675338,0.810876204
12.24417602,1.054326432,10.76543773,0.97282044,9.913082574,0.90270226,9.673714105,1.111070478,9.883785359,0.813792229,8.087400155,0.786207107
12.35020969,1.039386011,10.87151151,0.960771568,10.02321709,0.830518082,9.762235993,1.117709887,9.972289419,0.805227661,8.17775568,0.789857059
12.45624335,1.029996961,10.97759372,0.946192033,10.10173613,0.848051655,9.854818063,1.104091708,10.05818216,0.800016852,8.279288092,0.821158069
12.56227702,1.007991158,11.08365739,0.937179955,10.20375724,0.836541175,9.950087782,1.101509873,10.16007976,0.805843217,8.373280968,0.827224272
12.66660961,0.972631331,11.18970421,0.933229201,10.30146302,0.79671184,10.04101716,1.103886975,10.25397493,0.803338663,8.46342868,0.823879735
12.77656883,0.969602166,11.29576114,0.926241652,10.39184085,0.795567289,10.13060546,1.105441453,10.35583696,0.803602332,8.561266719,0.894383633
12.88037801,0.935917705,11.40180291,0.923809296,10.48588266,0.802951666,10.23564692,1.094236994,10.43573991,0.812003906,8.662799131,0.899750727
12.98641168,0.922491295,11.5078413,0.922389204,10.57992446,0.780903929,10.32151655,1.076469385,10.53566044,0.841722259,8.743855751,0.907859745
13.09244534,0.919158287,11.61388138,0.92046298,10.67396627,0.772680366,10.41969627,1.087910992,10.63708731,0.844941049,8.851256104,0.978751812
13.19847901,0.909516903,11.71991135,0.92157355,10.76800807,0.781402566,10.51648031,1.064297768,10.71681173,0.859929773,8.93339306,0.987853421
13.30451267,0.907445571,11.82592615,0.927239312,10.86632451,0.753523883,10.61557715,1.040192579,10.82534838,0.890124173,9.034791435,1.057883324
13.41536605,0.909109354,11.93193589,0.934423471,10.94854822,0.817907045,10.69947475,1.020414497,10.91218956,0.920996135,9.125223975,1.05256845
13.50754304,0.905820708,12.03794227,0.942619895,11.05013349,0.829866219,10.79541943,1.030403224,11.00513629,0.948442364,9.219216851,1.055802383
13.62261367,0.924698737,12.14393853,0.953853114,11.14417529,0.837250595,10.89290586,1.018482605,11.09903146,0.983960539,9.307294091,1.111879129
13.72864733,0.92439375,12.24993479,0.965086333,11.2382171,0.843743089,10.97790267,0.983470239,11.19292663,1.01902874,9.407202603,1.138336923
13.834681,0.926612114,12.35594116,0.973282757,11.33225891,0.874316402,11.07365592,0.985114975,11.27881937,1.044500472,9.501195479,1.141166246
13.94071466,0.929335149,12.46192563,0.988058902,11.42630071,0.911132891,11.17705386,0.972569081,11.38251401,1.06528801,9.595188355,1.140758688
14.04674833,0.935590874,12.56792358,0.998785989,11.52034252,0.907814681,11.26508754,0.940360235,11.46870266,1.096576026,9.68918123,1.143588011
14.1507164,0.932768478,12.67393501,1.005464015,11.61438432,0.95310405,11.35900871,0.938312987,11.56850731,1.117904018,9.783174106,1.139943574
14.25881566,0.949111665,12.77993801,1.014672704,11.71583548,0.915640989,11.4462909,0.9339672,11.66779359,1.118179411,9.877166982,1.133871477
14.36484932,0.956881401,12.88595113,1.020844599,11.79514,0.953713567,11.54684477,0.942288838,11.75250391,1.122754612,9.974720194,1.110925194
14.47755643,0.964282555,12.99197941,1.022461301,11.89650974,0.980608472,11.64076454,0.942035001,11.84663619,1.147522785,10.06515273,1.049706708
14.57241825,0.965233851,13.09799926,1.026608666,11.98602546,1.010797771,11.74061334,0.918692277,11.94408799,1.154683006,10.15160607,1.054567972
14.68166506,0.974542,13.20402586,1.028731501,12.08459335,0.996269106,11.82863941,0.89624372,12.04367378,1.12966436,10.25313849,1.057793013
14.79417444,0.986004377,13.31006425,1.027311409,12.17863515,1.012572304,11.9207501,0.91083757,12.13187833,1.10962629,10.34713136,1.048484036
14.90328001,0.999202959,13.41610602,1.024879053,12.27267696,1.01594321,12.01644714,0.936536127,12.21777108,1.109393308,10.44866377,0.99620611
,,13.52214273,1.023965093,12.36671876,1.036259878,12.11036692,0.93628229,12.3276711,1.08218119,10.53511711,0.974839127
,,13.62819292,1.019002075,12.46076057,1.054346841,12.20888209,0.938671653,12.41057627,1.0591258,10.62910999,0.959461
,,13.7342549,1.010496129,12.55480237,1.028731575,12.29820647,0.935774615,12.51101565,1.05786342,10.71577875,0.970587685
,,13.84030172,1.006545375,12.64499701,1.014339772,12.39127012,0.938482212,12.60135419,1.020608089,10.81709574,0.968761135
,,13.94634854,1.002594621,12.73956127,1.045291043,12.48685295,0.943249688,12.69524936,1.001679517,10.91464895,0.954783706
,,14.05241053,0.994088675,12.8390651,1.01401577,12.57197813,0.959036447,12.78914453,0.979376145,10.99775737,0.929308625
,,14.1584742,0.985076597,12.91020711,0.971704357,12.68049666,0.972826375,12.8830397,0.969897008,11.10572033,0.896837771
,,14.2645345,0.977076784,13.00791289,0.981406337,12.76777458,0.973960452,12.97693487,0.940619053,11.19306725,0.884590472
,,14.37059817,0.968064706,13.10551688,0.966040269,12.86169243,0.976172554,13.07083004,0.932264848,11.28706012,0.884182915
,,14.47664162,0.965126216,13.19689642,0.9725618,12.948274,1.00130244,13.16472521,0.926160509,11.381053,0.883775357
,,14.58267665,0.964718389,13.28463877,0.966182114,13.05305589,1.018809196,13.26146569,0.909399089,11.46707072,0.889930089
,,14.68874874,0.953175649,13.36383187,0.921176824,13.14341889,1.017556181,13.34519904,0.911175416,11.56903875,0.897526202
,,14.79479051,0.950743292,13.44534977,0.874580732,13.23733429,1.02290675,13.45304977,0.894030308,11.66303162,0.900355525
,,14.90083733,0.946792539,13.45514579,0.961936835,13.33125494,1.021532032,13.54030589,0.883519242,11.76294014,0.894444521
,,,,13.54059724,0.924378447,13.42517437,1.021726547,13.63420106,0.886864338,11.85101738,0.881737572
,,,,13.64238974,0.924974194,13.51624656,1.023448171,13.72809623,0.88008504,11.94116509,0.887577681
,,,,13.74261449,0.9046527,13.61301462,1.020322168,13.8219914,0.877355499,12.04632725,0.91903964
,,,,13.82066206,0.918456535,13.70335707,1.045409864,13.91710599,0.88605411,12.132996,0.950107816
,,,,13.92451515,0.931041589,13.79284335,1.027906473,14.0062251,0.914391027,12.22698888,0.962647778
,,,,13.99647674,0.883368228,13.89475804,1.039960696,14.10367691,0.921138772,12.32098176,0.96871398
,,,,14.08155683,0.907588015,13.98870089,1.010115592,14.20112871,0.928711468,12.41497463,0.972352523
,,,,14.17916082,0.897796211,14.07905284,1.023023044,14.29146725,0.924004193,12.51697826,0.95951905
,,,,14.27676482,0.908814992,14.17652785,1.025748609,14.38536242,0.928474223,12.59897281,0.974629734
,,,,14.3618449,0.902225725,14.27045253,1.019217836,14.47541642,0.937949372,12.69695326,0.961419212
,,,,14.46128624,0.899436049,14.36437545,1.014928826,14.57315276,0.969812345,12.78710097,0.972033719
,,,,14.56334297,0.911486049,14.4598237,0.986793938,14.66908029,0.96815937,12.88493901,1.029387793
,,,,14.64936985,0.918218271,14.55609018,0.972086287,14.7609431,0.969302968,12.97893189,1.037072435
,,,,14.74341165,0.983129049,14.6477975,0.967470204,14.85684672,0.994214858,13.07292476,1.036664878
,,,,14.83745346,0.930311376,14.73208438,0.969884474,14.94093718,1.01033193,13.16691764,1.036257321
,,,,14.9321529,0.915054291,14.83399915,0.981826609,,,13.26091052,1.035849764
,,,,,,14.93547191,0.956787527,,,13.35490339,1.035442207
,,,,,,,,,,13.44889627,1.035034649
,,,,,,,,,,13.54288914,1.034627092
,,,,,,,,,,13.63688202,1.034219535
,,,,,,,,,,13.7308749,1.033811978
,,,,,,,,,,13.82486777,1.032595201
,,,,,,,,,,13.91886065,1.022477004
,,,,,,,,,,14.02086428,0.984709442
,,,,,,,,,,14.1068464,0.960970394
,,,,,,,,,,14.20083927,0.996168514
,,,,,,,,,,14.29686663,0.944886881
,,,,,,,,,,14.38882503,0.941944883
,,,,,,,,,,14.47925757,0.961580957
,,,,,,,,,,14.57681078,0.958932608
,,,,,,,,,,14.67080365,0.95852505
,,,,,,,,,,14.76479653,0.958117493
,,,,,,,,,,14.854517,0.957569507
,,,,,,,,,,14.95343958,0.937442516