Li-Cl,,K-Cl,,Sm-Cl,,,,
X,Y,X,Y,X,Y,,,
2.086767559,0.142974665,2.238462696,0.005415162,2.166671295,0.02166065,,,
2.123038643,0.219080461,2.546155003,0.005415162,2.279491808,0.02166065,,,1
2.189981683,0.742596083,2.658975516,0.005415162,2.3717995,0.02166065,,,
2.205744512,0.919715025,2.724473285,0.00400147,2.412825141,0.02166065,,,
2.210999971,0.984289639,2.803104242,0.032275327,2.443594372,0.02166065,,,
2.243592174,1.423766014,2.837179769,0.054415194,2.474363603,0.02166065,,,
2.250426558,1.518413948,2.915303698,0.162900546,2.505132833,0.02166065,,,
2.255685959,1.601438452,2.931043346,0.231534136,2.584620013,0.02166065,,,
2.263577131,1.735661401,2.945557299,0.2878063,2.621422106,0.166959522,,,
2.283340097,2.235192166,2.96828851,0.368985815,2.63279668,0.249522779,,,
2.295152757,2.323751637,2.993857179,0.44186288,2.643296264,0.325628574,,,
2.297795467,2.426148526,3.007630337,0.506437494,2.66960269,0.519352417,,,
2.300441725,2.545150315,3.01498727,0.593520974,2.67920653,0.757355995,,,
2.316263688,2.999017603,3.02688327,0.663261557,2.682714098,0.818794128,,,
2.32375729,3.184115523,3.044368779,0.725529935,2.685297006,0.906800102,,,
2.332066729,3.364325421,3.049632615,0.829310565,2.695891459,1.161408581,,,
2.353148093,3.901217214,3.094244488,1.09960145,2.706414992,1.349597457,,,
2.358405129,3.973171784,3.129419163,1.359560397,2.708996244,1.429854477,,,
2.368923932,4.139220792,3.141496804,1.461680537,2.714310008,1.501809048,,,
2.399164306,4.611076723,3.151615292,1.559566787,2.717059669,1.573763618,,,
2.410991257,4.766517044,3.161890216,1.646209386,2.722359914,2.113422894,,,
2.424121626,4.889208811,3.200822839,1.907522124,2.7382634,2.417846075,,,
2.458297484,5.380898374,3.231236694,2.187725632,2.740868897,2.611569918,,,
2.468806727,5.502206399,3.262253698,2.391554982,2.746947546,2.705664356,,,
2.487180235,5.631816875,3.329938952,2.708985336,2.751341497,2.826880132,,,
2.591954419,5.355529775,3.361960864,2.932598,2.754122421,3.045142328,,,
2.605039944,5.268354046,3.401277264,2.95104789,2.759406469,3.243514584,,,
2.610258346,5.159499696,3.430116058,2.99625012,2.761879382,3.34772052,,,
2.631177682,4.938101019,3.46156701,3.000862592,2.769816342,3.430745024,,,
2.631196999,5.028505479,3.487784382,3.043297339,2.775054496,3.679818536,,,
2.644263109,4.850464043,3.561664175,2.914000511,2.777723422,3.904907191,,,
2.654726325,4.756369605,3.592584881,2.890163254,2.788220148,3.967636817,,,
2.693940324,4.295583608,3.620520301,2.796068816,2.788232684,4.026307466,,,
2.696540162,4.197337944,3.642351172,2.752158078,2.788250503,4.109700968,,,
2.69914069,4.102321012,3.671154801,2.632787291,2.791125883,4.504528609,,,
2.709606468,4.020219003,3.754989839,2.485188173,2.795348192,4.618917926,,,
2.75406065,3.552514297,3.824665177,2.303825756,2.796323234,4.562645762,,,
2.769950477,3.368231047,3.84666943,2.253642056,2.79886195,4.709322386,,,
2.792992687,3.205776173,3.859437193,2.166064982,2.806772931,4.93625603,,,
2.84561468,2.73333919,3.885074837,2.097141465,2.809450333,5.201011949,,,
2.856077896,2.639244753,3.904283548,2.047003291,2.812261753,5.296508099,,,
2.871766216,2.467660778,3.975000306,1.833292067,2.814674492,5.384588352,,,
2.911009191,2.14248147,4.040479451,1.638522731,2.817223261,5.578312194,,,
2.917108003,2.06545318,4.072965213,1.579852081,2.821429317,5.802478355,,,
2.933255796,1.999956072,4.087635241,1.548856267,2.822817157,5.899340277,,,
2.945026471,1.892024216,4.19504361,1.335068169,2.826598128,5.99251222,,,
3.013099468,1.570996134,4.213151424,1.283177854,2.828012775,6.214833392,,,
3.018331194,1.524502412,4.237884194,1.227229162,2.830848294,6.423113479,,,
3.032724355,1.424319511,4.26081561,1.183428644,2.836874989,6.539551452,,,
3.056727938,1.327457589,4.272316509,1.140375707,2.838532802,6.65209578,,,
3.159740611,0.984289639,4.291963116,1.095348391,2.841139481,6.851354589,,,
3.230475833,0.8569854,4.349773283,1.009760072,2.846546636,7.094893134,,,
3.245310254,0.777650874,4.375804779,0.978754672,2.846563667,7.174596658,,,
3.382432555,0.616214338,4.446541183,0.8569854,2.846579751,7.249872209,,,
3.413876607,0.588539504,4.475421604,0.831514968,2.855442933,7.472924188,,,
3.437451664,0.530422351,4.50156798,0.807170697,2.862398758,7.68990208,,,
3.627447978,0.465386489,4.540876298,0.787798313,2.862413541,7.759089166,,,
3.657582502,0.44186288,4.57232035,0.760123478,2.86504265,7.797833935,,,
3.691650933,0.430792946,4.65616889,0.675715233,2.867682995,7.889160889,,,
3.741444347,0.419723012,4.682379856,0.688168908,2.870350542,8.107792083,,,
4.01400244,0.380978244,4.768860048,0.65440561,2.874770237,8.349485639,,,
4.046506652,0.408653078,4.802401238,0.628944762,2.878290499,8.470332417,,,
4.077949522,0.375443277,4.834369102,0.599609437,2.883546944,8.539519504,,,
4.100493395,0.397583144,4.865814928,0.580237053,2.883610809,8.838407719,,,
4.242020607,0.408653078,4.897261149,0.562709658,2.884874804,8.621160266,,,
4.270849742,0.408653078,4.92870737,0.545182263,2.890707471,9.077333791,,,
4.318022326,0.397583144,4.96278684,0.58577202,2.894277365,9.164970768,,,
4.359959162,0.414188045,4.996857636,0.58577202,2.899314585,9.270135139,,,
4.525093954,0.519352417,5.028307602,0.58577202,2.899469435,9.463858982,,,
4.567031973,0.541492285,5.046653415,0.58577202,2.910002036,9.694482604,,,
4.632548005,0.519352417,5.179608674,0.568592058,2.915260648,9.77381713,,,
4.784565635,0.563632152,5.366390005,0.563632152,2.917911046,9.912191304,,,
4.881560017,0.674331491,5.438581875,0.563176895,2.925813749,10.10038018,,,
4.933980766,0.693703875,5.562947562,0.541492285,2.931382218,10.30240647,,,
4.961063667,0.698316348,5.586535036,0.541492285,2.939142489,10.35498866,,,
4.990766807,0.700161337,5.678265878,0.549794735,2.944120616,10.4490831,,,
5.15677994,0.827465576,5.741174154,0.588847002,2.946871985,10.52903262,,,
5.216190556,0.851450433,5.771056642,0.612339861,2.954778893,10.73690138,,,
5.264287698,0.866425993,5.840773729,0.626361778,2.962683961,10.93616019,,,
5.418891769,0.962149772,5.872224681,0.63097425,2.991495357,10.85313568,,,
5.468691096,0.978754672,5.924649964,0.671564008,3.004845876,10.67870036,,,
5.49752378,0.995359573,5.958721351,0.674331491,3.020235436,10.43635267,,,
5.52897414,0.997204562,6.05046126,0.725068688,3.020247617,10.49336283,,,
5.675756417,1.071004121,6.074051297,0.737061116,3.025340729,10.32912287,,,
5.728178152,1.094988978,6.168418541,0.818240631,3.028055705,10.23875435,,,
5.83127519,1.146648669,6.20616465,0.847022459,3.03063869,10.06163541,,,
6.033597149,1.23465704,6.239190426,0.862520367,3.043699083,9.856841634,,,
6.138806468,1.242588096,6.278508008,0.886505223,3.046297147,9.750293521,,,
6.361806905,1.25631769,6.392084426,0.919715025,3.055011993,9.650817865,,,
6.423345367,1.25631769,6.511259754,0.989455608,3.060987689,9.422382671,,,
6.61822179,1.277978339,6.540616091,1.003662024,3.067089662,9.200857001,,,
6.741289457,1.23465704,6.574689845,1.017499441,3.069801562,9.096089182,,,
6.787014961,1.194618383,6.600899924,1.025801891,3.077414606,8.990619309,,,
7.0071458,1.106058912,6.65175054,1.056244209,3.077540833,8.784903038,,,
7.051697553,1.094988978,6.683200743,1.057351203,3.085184694,8.558173062,,,
7.080529054,1.106058912,6.716230066,1.089454011,3.088051085,8.379963899,,,
7.264324725,1.039711191,6.750304884,1.108272899,3.093130595,8.152071819,,,
7.315073869,1.014731957,6.843839674,1.16967509,3.094831297,7.934363119,,,
7.376659246,0.995359573,6.949504086,1.183548449,3.098311112,7.865914028,,,
7.536518079,0.940009904,7.059233546,1.21299639,3.101033216,7.808903869,,,
7.602037659,0.934474937,7.213093585,1.277978339,3.106083405,7.709274464,,,
7.668598475,0.895730168,7.290230974,1.27210792,3.108717204,7.504480688,,,
7.841214246,0.88267148,7.356683329,1.277978339,3.113898548,7.222197374,,,
7.913898748,0.851450433,7.39770897,1.277978339,3.11391826,7.314446823,,,
7.966312993,0.840380499,7.459247431,1.277978339,3.117373278,7.129947925,,,
,,7.497275729,1.268110444,3.121904022,7.094893134,,,
,,7.528730294,1.289635315,3.124263602,6.66870068,,,
,,7.549697924,1.294247788,3.124312092,6.895634325,,,
,,7.596863411,1.249968052,3.129486931,6.582908693,,,
,,7.701688944,1.213990767,3.133396002,6.479128063,,,
,,7.733135953,1.20015335,3.142475181,6.040481933,,,
,,7.822248132,1.21860324,3.145141544,6.25357816,,,
,,7.853697704,1.216758251,3.146819381,5.9288601,,,
,,7.885143925,1.199230855,3.152870984,5.63089438,,,
,,7.913969946,1.184655442,3.152911786,5.82185074,,,
,,7.972049431,1.19133574,3.158915373,5.299165362,,,
,,,,3.160681733,5.388739577,,,
,,,,3.165660706,5.221306827,,,
,,,,3.168459367,4.991605699,,,
,,,,3.176273368,4.764672055,,,
,,,,3.181473635,4.570948213,,,
,,,,3.181495515,4.673345101,,,
,,,,3.194532845,4.360619469,,,
,,,,3.204963538,4.11431344,,,
,,,,3.220147584,4.035827609,,,
,,,,3.225891745,3.934427015,,,
,,,,3.23895608,3.748083128,,,
,,,,3.25443357,3.120786876,,,
,,,,3.25460817,3.406944666,,,
,,,,3.254628631,3.502699594,,,
,,,,3.257208659,3.311743235,,,
,,,,3.26231845,2.694594422,,,
,,,,3.263211377,2.784998882,,,
,,,,3.264977718,2.874480847,,,
,,,,3.270141913,2.511940513,,,
,,,,3.285800666,2.201982365,,,
,,,,3.291019856,2.096817993,,,
,,,,3.305526243,1.862815884,,,
,,,,3.338082844,1.572841123,,,
,,,,3.343315832,1.532251366,,,
,,,,3.351165314,1.471366729,,,
,,,,3.369510784,1.310469314,,,
,,,,3.403506035,1.116206351,,,
,,,,3.411334425,0.956614805,,,
,,,,3.411349209,1.025801891,,,
,,,,3.424419359,0.866671592,,,
,,,,3.435763577,0.807170697,,,
,,,,3.444043852,0.718149979,,,
,,,,3.47191058,0.541516245,,,
,,,,3.510344349,0.411552347,,,
,,,,3.541187351,0.300167726,,,
,,,,3.547465045,0.24260407,,,
,,,,3.610372861,0.27950385,,,
,,,,3.650531333,0.150354621,,,
,,,,3.688961507,0.109764864,,,
,,,,3.699434185,0.059950161,,,
,,,,3.911713768,0.023972876,,,
,,,,3.93005899,0.021205393,,,
,,,,4.231454497,0.021205393,,,
,,,,4.29697999,0.043345261,,,
,,,,4.337168423,0.054415194,,,
,,,,4.540195426,0.054415194,,,
,,,,4.569548727,0.054415194,,,
,,,,4.590515371,0.054415194,,,
,,,,4.669140286,0.054415194,,,
,,,,4.73990271,0.054415194,,,
,,,,4.771352676,0.054415194,,,
,,,,4.802802641,0.054415194,,,
,,,,4.821148455,0.054415194,,,
,,,,4.878818553,0.109764864,,,
,,,,4.966185088,0.135594709,,,
,,,,4.999386611,0.155889588,,,
,,,,5.038702617,0.172494489,,,
,,,,5.072776961,0.18909939,,,
,,,,5.098991968,0.220464202,,,
,,,,5.23266615,0.275813872,,,
,,,,5.268838815,0.300167726,,,
,,,,5.29033684,0.333931025,,,
,,,,5.384716896,0.475072681,,,
,,,,5.427530102,0.504592505,,,
,,,,5.640725674,0.666951535,,,
,,,,5.77535586,1.107903901,,,
,,,,5.813788006,1.076539088,,,
,,,,5.935227046,1.110363886,,,
,,,,5.961447441,1.166943548,,,
,,,,6.094087877,1.29055781,,,
,,,,6.121357839,1.352918437,,,
,,,,6.173785567,1.404947126,,,
,,,,6.215689287,1.266572953,,,
,,,,6.252375001,1.238898118,,,
,,,,6.290818579,1.261037986,,,
,,,,6.320521325,1.261037986,,,
,,,,6.378181961,1.27210792,,,
,,,,6.433768167,1.387235232,,,
,,,,6.485667944,1.421552027,,,
,,,,6.559064207,1.482436663,,,
,,,,6.611473327,1.447381873,,,
,,,,6.629814804,1.427086994,,,
,,,,6.713677832,1.410482093,,,
,,,,6.762629568,1.548856267,,,
,,,,6.886676298,1.521181432,,,
,,,,6.912879872,1.499041564,,,
,,,,7.029922346,1.399412159,,,
,,,,7.059624382,1.396091179,,,
,,,,7.143483389,1.360667391,,,
,,,,7.218608344,1.334837545,,,
,,,,7.282383266,1.341295007,,,
,,,,7.353142733,1.327457589,,,
,,,,7.416022559,1.233363151,,,
,,,,7.816949308,0.951079838,,,
,,,,7.861499878,0.934474937,,,