Th-Th,,Th-F,,F-F,
X,Y,X,Y,X,Y
2.081676136,0.008695652,1.559510744,-0.016748373,1.56201098,0.014648129
2.132064858,0.006656292,1.639518306,-0.016748373,1.617016179,0.014648129
2.187070057,0.008368829,1.719525868,-0.016748373,1.672021378,0.014648129
2.242075255,0.008368829,1.799533429,-0.016748373,1.727026576,0.014648129
2.297080454,0.008368829,1.880136285,0.006571183,1.782031775,0.014077283
2.352085653,0.008368829,1.928516208,0.123612457,1.837036974,0.016075242
2.407090851,0.008368829,1.942046899,0.231854834,1.892042173,0.014933552
2.46209605,0.008368829,1.9588342,0.348123826,1.947047371,0.016360665
2.517101249,0.008368829,1.973716558,0.461524998,2.00205257,0.021212852
2.572106447,0.008368829,1.988051247,0.577901364,2.059366007,0.046221923
2.627111646,0.008368829,1.993273131,0.726425284,2.108904774,0.099418683
2.682116845,0.008368829,1.997052097,0.841581612,2.154686043,0.180750572
2.737122044,0.008368829,2.003719394,0.914681168,2.184069773,0.26854117
2.792127242,0.008368829,2.014099163,1.032465619,2.210601692,0.347635729
2.847132441,0.008368829,2.025721474,1.208343111,2.23624137,0.441466123
2.90213764,0.008368829,2.033245994,1.374116639,2.253999459,0.52302994
2.957142838,0.008368829,2.038490237,1.5305283,2.276289015,0.606389557
3.012148037,0.008368829,2.044190512,1.678662702,2.297080454,0.695582838
3.067153236,0.008368829,2.050137319,1.788550457,2.311367519,0.779377198
3.122158435,0.008368829,2.050939646,1.885281582,2.323332935,0.854242903
3.177163633,0.008368829,2.056865771,2.035326958,2.340751248,0.926402529
3.232168832,0.008368829,2.061384116,2.148040398,2.355657419,1.006329051
3.287174031,0.008368829,2.066290723,2.224961826,2.374587779,1.092529267
3.342179229,0.014362706,2.070941537,2.318403794,2.395913324,1.187769169
3.397184428,0.014648129,2.075695894,2.473565032,2.415841678,1.272470465
3.452189627,0.021498275,2.083726956,2.585759954,2.436211251,1.355463423
3.507194825,0.050040549,2.085810486,2.697479172,2.455309694,1.433994252
3.562200024,0.105697983,2.09063237,2.783371029,2.474020254,1.512985779
3.603870629,0.167235126,2.093251666,2.919273028,2.496765993,1.584891818
3.634706877,0.242900694,2.096676898,3.084259918,2.521789192,1.653545501
3.657764612,0.317101092,2.107944931,3.232050779,2.550339684,1.727419622
3.685673232,0.39985905,2.113603215,3.324885924,2.590266059,1.797473673
3.707703615,0.505575241,2.113813133,3.431372391,2.638223808,1.831459009
3.73312527,0.595483404,2.117448092,3.589985101,2.701007519,1.835645209
3.745550687,0.691417159,2.123064007,3.722784252,2.748965268,1.80887556
3.762073864,0.776811594,2.129564621,3.834974417,2.795285435,1.762111298
3.784039173,0.890039672,2.132125264,3.969285345,2.834161932,1.72173913
3.800854074,0.973985671,2.13706533,4.112462404,2.870308693,1.672968291
3.816509774,1.050284153,2.146681952,4.229749195,2.907138112,1.611857924
3.833475663,1.128439015,2.153257337,4.383097528,2.952142366,1.542262346
3.848893787,1.198296231,2.161789889,4.569024619,2.996264183,1.475508869
3.862783989,1.287601835,2.170818521,4.690372097,3.038032836,1.407303579
3.884452703,1.381442489,2.173259227,4.829974398,3.082154654,1.337312962
3.904454594,1.469701543,2.180145341,4.984143452,3.128211638,1.271843677
3.924734288,1.546797396,2.194154059,5.085706377,3.177163633,1.20016877
3.948486533,1.625027012,2.203705588,5.194809219,3.228358948,1.128085785
3.979057604,1.703779903,2.21607601,5.303665814,3.277887439,1.070949817
4.006787498,1.775421011,2.233675713,5.427625826,3.308385811,1.033380405
4.035426568,1.850201769,2.289579745,5.358332664,3.345204828,0.997713663
4.0711767,1.927143584,2.293132712,5.211595331,3.379157411,0.962003804
4.101250971,2.000476841,2.304581163,5.071054676,3.417882843,0.930702671
4.134072255,2.073973197,2.312081872,4.955974423,3.45687757,0.894658309
4.16175669,2.149924188,2.328447055,4.8391487,3.503695998,0.865184862
4.179758391,2.223784457,2.330000232,4.731187549,3.552319892,0.834543765
4.204760754,2.286812934,2.337084235,4.63099941,3.605521098,0.811788422
4.230445,2.362821009,2.346085085,4.513138846,3.664358344,0.793850862
4.26226619,2.452586461,2.351752288,4.383157331,3.725548796,0.778179253
4.295602674,2.534479002,2.366729894,4.248017818,3.780033112,0.778670739
4.327272333,2.609255003,2.37244472,4.115031209,3.832538075,0.787304776
4.37727706,2.65566474,2.379588252,4.008283104,3.888047801,0.804376624
4.427281786,2.619162343,2.388627568,3.80220475,3.942235942,0.82713854
4.457284621,2.541543215,2.389589197,3.90907016,3.997241141,0.856492758
4.484509417,2.471947637,2.400936424,3.684416117,4.05224634,0.892598735
4.502288875,2.396745541,2.410249045,3.537996563,4.107251539,0.930372925
4.522290765,2.32291891,2.417091797,3.391462608,4.162256737,0.968004403
4.539792419,2.219729076,2.427092742,3.279028004,4.217261936,1.012761709
4.55979431,2.136659166,2.432547803,3.171994477,4.270016922,1.045613866
4.578129376,2.033704805,2.44209416,3.067244331,4.327034216,1.053539633
4.599798091,1.946317876,2.450094916,2.919693143,4.380027319,1.056770875
4.610632448,1.870704635,2.46209605,2.778967364,4.438052034,1.05314779
4.624800454,1.796713547,2.467513229,2.66817577,4.492600459,1.038476787
4.642302108,1.710844116,2.477097468,2.560618968,4.547235102,1.016572102
4.656394349,1.619009349,2.487098413,2.457295936,4.601934717,0.993213498
4.677305416,1.524819845,2.491786356,2.334260896,4.654803289,0.974035507
4.692862442,1.435863091,2.51067207,2.19221976,4.710000814,0.959441309
4.709308441,1.361244073,2.515562642,2.069911411,4.767313923,0.953644619
4.731199399,1.273996684,2.530852548,1.935132873,4.822319122,0.952198023
4.745811891,1.196412441,2.542103612,1.837389459,4.873435064,0.953485672
4.769814159,1.115487958,2.552556818,1.727536232,4.932329519,0.95654317
4.790952521,1.041313724,2.563684599,1.579020121,4.990796584,0.958476087
4.817318649,0.961365158,2.585637138,1.4298916,5.041923211,0.964653933
4.833096591,0.915942029,2.602109283,1.311323636,5.097345115,0.978802897
4.85732243,0.847283345,2.61652241,1.197003434,5.15623957,0.983486774
4.888158678,0.780722762,2.639612828,1.080036076,5.206855465,0.981492137
4.931829472,0.71918562,2.659114671,0.976009001,5.262598829,0.991942687
4.982334245,0.666268244,2.683188375,0.863250709,5.315615745,0.998507863
5.037339444,0.628021597,2.714786599,0.757907971,5.372371109,1.002432425
5.092344643,0.606329468,2.74445607,0.657857787,5.427376308,0.999533874
5.147349841,0.604902355,2.793627384,0.549173565,5.482381506,1.005330976
5.20235504,0.607471159,2.839631732,0.461067133,5.535303175,1.003637922
5.257360239,0.625452792,2.919639294,0.387481583,5.592391904,1.006777572
5.312365438,0.646003229,2.999646856,0.335481127,5.647397102,1.005065036
5.367370636,0.671976699,3.079654417,0.307616732,5.702402301,1.000498272
5.422375835,0.700518973,3.159661979,0.300356291,5.7574075,1.000498272
5.477381034,0.725065328,3.239669541,0.30467331,5.811530262,0.998795133
5.532386232,0.759886902,3.319677103,0.320960245,5.869501427,0.997358622
5.587391431,0.792710518,3.399684664,0.346273675,5.922423096,0.992506435
5.64239663,0.822965328,3.479692226,0.381790967,5.977428295,0.988225094
5.697401828,0.853220138,3.559699788,0.424764928,6.03331593,0.989304326
5.752407027,0.883189526,3.637207113,0.477641869,6.087438692,0.997599721
5.807412226,0.907735882,3.715909091,0.533333333,6.142443891,1.000498272
5.862417425,0.920579905,3.794722001,0.602351389,6.197449089,1.005065036
5.912422151,0.930379419,3.874729562,0.673189745,6.252454288,1.006777572
5.96875,0.962318841,3.954737124,0.750699858,6.307459487,1.006777572
6.033380682,0.997101449,4.020895254,0.815455142,6.362464686,1.011344336
6.088778409,1.020289855,4.086861386,0.880354327,6.417469884,1.015340255
6.162445781,1.057011975,4.15321578,0.944348898,6.472475083,1.017820413
6.21745098,1.059866202,4.223721591,1.031884058,6.529730494,1.020109834
6.265312646,1.061497189,4.309770679,1.11843138,6.58248548,1.027549626
6.324961141,1.077419701,4.389778241,1.16258271,6.637490679,1.030448177
6.393465909,1.066666667,4.469785803,1.215760535,6.689337685,1.026634013
6.458096591,1.07826087,4.549793365,1.25520239,6.742813133,1.025435988
6.550426136,1.07826087,4.629800926,1.277964853,6.802506275,1.028514024
6.624289773,1.043478261,4.687306361,1.272750791,6.857511474,1.025615473
6.707386364,1.031884058,4.804817468,1.261874146,6.912516673,1.024759205
6.78125,1.008695652,4.884825029,1.22988896,6.967521871,1.017338214
6.845880682,0.985507246,4.964832591,1.193194299,7.024450329,1.0091931
6.901278409,0.973913043,5.044840153,1.147276916,7.077532269,1.003879022
6.952520453,0.95654317,5.124847715,1.095276461,7.132537467,1.000980471
7.007525652,0.953688943,5.204855276,1.049297463,7.188425102,0.998538591
7.062530851,0.946553374,5.283978796,1.00020681,7.244471124,0.993735949
7.11753605,0.94398457,5.3648704,0.962401886,7.297553064,0.991364744
7.172541248,0.933994774,5.444877962,0.931033513,7.352558262,0.987939672
7.227546447,0.920579905,5.524885523,0.906701224,7.407563461,0.982231217
7.282551646,0.917440255,5.604893085,0.894338852,7.46256866,0.981660371
7.337556844,0.914015182,5.679900174,0.900926511,7.517573858,0.981660371
7.392562043,0.909162995,5.756392045,0.904347826,7.572579057,0.981660371
7.447567242,0.906308768,5.848721591,0.915942029,7.627584256,0.981660371
7.502572441,0.906308768,5.941051136,0.962318841,7.682589455,0.981660371
7.557577639,0.906308768,6.0703125,1.017391304,7.737594653,0.981660371
7.612582838,0.910875532,6.199949326,1.080036076,7.792599852,0.981660371
7.667588037,0.9180111,6.299958778,1.100770848,7.847605051,0.981660371
7.722593235,0.918867369,6.37996634,1.10371427,7.906896369,0.976278114
7.777598434,0.929142587,6.459973901,1.101751989,7.952927505,0.974203702
7.80760127,0.931425969,6.504978155,1.100967077,7.992618756,0.991079322
7.879971591,0.973913043,6.651988636,1.043478261,,
7.963068182,1.020289855,6.78125,0.997101449,,
,,6.865012183,0.95654317,,
,,7.012073864,0.962318841,,
,,7.113636364,0.973913043,,
,,7.252130682,0.997101449,,
,,7.372159091,0.997101449,,
,,7.473721591,0.985507246,,
,,7.584517045,0.973913043,,
,,7.713778409,0.962318841,,
,,7.843039773,0.973913043,,
,,7.953835227,0.997101449,,
